MUNICIPIO,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,ACIDENTES,LATITUDE,LONGITUDE,BOTROPICO,CROTALICO,ELAPIDICO,LAQUETICO,LOXOSCELICO,FONEUTRICO,ESCORPIONICO,LONOMICO,lat,lon
SANDOVALINA,354550,GVE 21 PRESIDENTE PRUDENTE,UNIDADE BASICA DE SAUDE II SANDOVALINA,"R. Antônio Soares Paiva, 136-266, Sandovalina - SP, 19250-000",0,,0,(18) 3277-1105,,-2.245.554,-5.176.266,0,0,0,0,0,0,0,0,-22.45554,-51.76266
SANTA ADELIA,354560,GVE 29 SAO JOSE DO RIO PRETO,SANTA CASA DE SANTA ADELIA,"Av. Duque de Caxias, 168 - Vila Toninho, Santa Adélia - SP, 15950-000",0,,1,(17) 3571-2233,,-2.124.589,-4.880.797,0,0,0,0,0,0,0,0,-21.24589,-48.80797
SANTA ALBERTINA,354570,GVE 30 JALES,PRONTO SOCORRO DE SANTA ALBERTINA,"Rua Marcos Roque, 905 - Centro, Santa Albertina - SP, 15750-000",0,,1,(17) 0633-1289,,-2.003.554,-5.072.394,0,0,0,0,0,0,0,0,-20.03554,-50.72394
SANTA BARBARA DOESTE,354580,GVE 17 CAMPINAS,PRONTO SOCORRO ÉDSON MANO,"RUA ALICE ARANHA DE OLIVEIRA, 45 – VILA MARIA",1,"Escorpiônico e Loxoscélico, Fonêutrico.",1,(19) 3464-9210,ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.275.352,-4.741.912,0,0,0,0,1,1,1,0,-22.75352,-47.41912
SANTA BRANCA,354600,GVE 27 SAO JOSE DOS CAMPOS,PRONTO ATENDIMENTO MUNICIPAL - SANTA BRANCA,"Praça Rui Barbosa, 109 - Centro, Santa Branca - SP, 12380-000",0,,1,(12) 3972-4400,,-2.339.895,-4.588.722,0,0,0,0,0,0,0,0,-23.39895,-45.88722
SANTA CLARA DOESTE,354610,GVE 30 JALES,CS DE SANTA CLARA DOESTE,"R. Antônio Facincani, 205, Santa Clara d'Oeste - SP, 15785-000",0,,0,(17) 3663-1109,,-2.009.240,-5.092.806,0,0,0,0,0,0,0,0,-20.0924,-50.92806
SANTA CRUZ DA CONCEICAO,354620,GVE 20 PIRACICABA,UBS DR JOSE TADEU MOURAO,"R. Ver. Gabriel Francisco, 370 - Centro, Santa Cruz da Conceição - SP, 13625-000",0,,0,(19) 3567-1286,,-2.213.854,-4.745.285,0,0,0,0,0,0,0,0,-22.13854,-47.45285
SANTA CRUZ DA ESPERANCA,354625,GVE 24 RIBEIRAO PRETO,UBS ORLANDA ARAUJO DA SILVA SCE,"R. Gilberto Rodrigues Xavier, 70, Santa Cruz da Esperança - SP, 14250-000",0,,0,(16) 3666-1179,,-2.129.360,-4.742.718,0,0,0,0,0,0,0,0,-21.2936,-47.42718
SANTA CRUZ DAS PALMEIRAS,354630,GVE 26 SAO JOAO DA BOA VISTA,"POSTO DE ATENDIMENTO IMEDIATO ""DR. JOSÉ ZENEDIN","RUA JOVINO MARTINS DA SILVA, 192. JD. SÃO CARLOS",1,"Botrópico, Crotálico, Escorpiônico, Fonêutrico e Loxoscélico.",1,(19) 3672-9069,JARARACA; CASCAVEL; ESCORPIÃO; ARANHA MARROM; ARANHA ARMADEIRA.,-2.182.110,-4.725.945,1,1,0,0,1,1,1,0,-21.8211,-47.25945
SANTA CRUZ DO RIO PARDO,354640,GVE 13 ASSIS,SANTA CASA DE SANTA CRUZ DO RIO PARDO,"AV. DR. CIRO DE MELLO CAMARINHA 530, CENTRO",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(14) 3322-1222,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.290.129,-4.962.699,1,1,0,0,1,1,1,0,-22.90129,-49.62699
SANTA ERNESTINA,354650,GVE 12 ARARAQUARA,CENTRO DE SAUDE III SANTA ERNESTINA,"R. João Batista Caporici, Caporicci, 264, Santa Ernestina - SP, 15970-000",0,,1,(16) 3256-9999,,-2.145.984,-4.839.032,0,0,0,0,0,0,0,0,-21.45984,-48.39032
SANTA FE DO SUL,354660,GVE 30 JALES,UNIDADE DE PRONTO ATENDIMENTO (UPA) DE SANTA FÉ DO SUL,RUA 01 N 800 -CENTRO,1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(17) 3631-1014,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.021.451,-5.092.843,1,1,0,0,1,1,1,0,-20.21451,-50.92843
SANTA GERTRUDES,354670,GVE 20 PIRACICABA,HOSPITAL E MATERNIDADE SANTA FRANCISCA STA GERTRUDES,"R. 6, 310 - Centro, Santa Gertrudes - SP, 13510-000",0,,1,(19) 3545-1126,,-2.245.749,-4.753.206,0,0,0,0,0,0,0,0,-22.45749,-47.53206
SANTA ISABEL,354680,GVE 8 MOGI DAS CRUZES,UPA- UNIDADE DE PRONTO ATENDIMENTO SANTA ISABEL,"RUA PRESID. CASTELO BRANCO, 320 - BROTAS - SANTA ISABEL",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico, Escorpiônico e Lonômico.",1,(11) 4656-81504,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.330.839,-4.623.102,1,1,0,0,1,1,1,1,-23.30839,-46.23102
SANTA LUCIA,354690,GVE 12 ARARAQUARA,PRONTO SOCORRO MUNICIPAL SANTA LUCIA,"R. Cel. Luís Pinto, 170 - Centro, Santa Lúcia - SP, 14825-000",0,,1,(16) 3396-9603,,-2.168.658,-4.808.427,0,0,0,0,0,0,0,0,-21.68658,-48.08427
SANTA MARIA DA SERRA,354700,GVE 20 PIRACICABA,HOSPITAL MUNICIPAL JORGE CURY DE SANTA MARIA DA SERRA,"R. Feliciano de Oliveira Dorta - Centro, Santa Maria da Serra - SP, 17370-029",0,,1,(19) 3487-1266,,-2.256.725,-4.815.956,0,0,0,0,0,0,0,0,-22.56725,-48.15956
SANTA MERCEDES,354710,GVE 22 PRESIDENTE VENCESLAU,CENTRO DE SAUDE III SARAH ANTONIO DE SOUZA,"R. Duque de Caxias, 860 - Centro, Santa Mercedes - SP, 17940-000",0,,0,(18) 3875-1253,,-2.135.215,-5.175.130,0,0,0,0,0,0,0,0,-21.35215,-51.7513
SANTA RITA DO PASSA QUATRO,354750,GVE 24 RIBEIRAO PRETO,SANTA CASA DE SANTA RITA DO PASSA QUATRO,"RUA INÁCIO RIBEIRO, 279, CENTRO",1,"Botrópico, Crotálico e Escorpiônico.",1,(19) 3582-9555,JARARACA; CASCAVEL; ESCORPIÃO.,-2.171.115,-4.747.995,1,1,0,0,0,0,1,0,-21.71115,-47.47995
SANTA RITA DOESTE,354740,GVE 30 JALES,CS DE SANTA RITA DOESTE,"R. Teodomiro Alves Corrêa, 71 - Centro, Santa Rita d'Oeste - SP, 15780-000",0,,0,(17) 3643-1127,,-2.014.603,-5.083.294,0,0,0,0,0,0,0,0,-20.14603,-50.83294
SANTA ROSA DE VITERBO,354760,GVE 24 RIBEIRAO PRETO,SANTA CASA DE SANTA ROSA DE VITERBO,"R. Dr. Henrique Dumont, 582 - Centro, Santa Rosa de Viterbo - SP, 14270-000",0,,1,(16) 3954-8020,,-2.147.558,-4.736.420,0,0,0,0,0,0,0,0,-21.47558,-47.3642
SANTA SALETE,354765,GVE 30 JALES,UBS DE SANTA SALETE,"Rua Ayrton Senna, 100, Santa Salete - SP, 15768-000",0,,0,(17) 3662-6129,,-2.024.647,-5.068.766,0,0,0,0,0,0,0,0,-20.24647,-50.68766
SANTANA DA PONTE PENSA,354720,GVE 30 JALES,CS DE SANTANA DA PONTE PENSA,"Av. São Joaquim, 568, Santana da Ponte Pensa - SP, 15765-000",0,,0,(17) 3692-1152,,-2.025.627,-5.079.983,0,0,0,0,0,0,0,0,-20.25627,-50.79983
SANTANA DE PARNAIBA,354730,GVE 10 OSASCO,HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA,"R. Prof. Edgar de Moraes, 707 - Campo da Vila, Santana de Parnaíba - SP, 06502-165",0,,1,(11) 4622-8750,,-2.344.245,-4.692.509,0,0,0,0,0,0,0,0,-23.44245,-46.92509
SANTO ANASTACIO,354770,GVE 21 PRESIDENTE PRUDENTE,HOSPITAL DE CARIDADE ANITA COSTA,"PRAÇA DR. LUIZ RAMOS E SILVA, Nº 328",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(18) 3263-1155,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.197.628,-5.165.133,1,1,0,0,1,1,1,0,-21.97628,-51.65133
SANTO ANDRE,354780,GVE 7 SANTO ANDRE,HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE,"R. Dr. Henrique Calderazzo, 321 - Paraíso, Santo André - SP, 09190-615",0,,1,(11) 2829-5000,,-2.367.087,-4.653.316,0,0,0,0,0,0,0,0,-23.67087,-46.53316
SANTO ANTONIO DA ALEGRIA,354790,GVE 24 RIBEIRAO PRETO,UNIDADE MISTA DE SANTO ANTONIO DA ALEGRIA,"Marechal Deodoro ,SN Centro, Santo Antônio da Alegria - SP, 14390-000",0,,1,(16) 3668-1125,,-2.108.923,-4.715.088,0,0,0,0,0,0,0,0,-21.08923,-47.15088
SANTO ANTONIO DA POSSE,354800,GVE 17 CAMPINAS,PRONTO ATENDIMENTO SANTO ANTONIO DE POSSE,"R. Joaquim de Barros Aranha, 112, Santo Antônio de Posse - SP, 13830-000",0,,1,(19) 3896-9500,,-2.260.701,-4.691.893,0,0,0,0,0,0,0,0,-22.60701,-46.91893
SANTO ANTONIO DO ARACANGUA,354805,GVE 11 ARACATUBA,CENTRO DE SAÚDE II - STO. ANT. DO ARACANGUÁ,"AVENIDA DOS EUGENIOS, 451, JD. TRIANGULO",1,Escorpiônico.,1,(18) 3639-9595,ESCORPIÃO.,-2.093.162,-5.049.647,0,0,0,0,0,0,1,0,-20.93162,-50.49647
SANTO ANTONIO DO JARDIM,354810,GVE 26 SAO JOAO DA BOA VISTA,UNIDADE BASICA DE SAUDE FARMACEUTICO RAUL COSTA CAMARA,"Rua José Justino de Oliveira, 105 - Centro, Santo Antônio do Jardim - SP CEP, 13997-023",0,,0,(19) 3654-1364,,-2.211.331,-4.668.554,0,0,0,0,0,0,0,0,-22.11331,-46.68554
SANTO ANTONIO DO PINHAL,354820,GVE 33 TAUBATE,UNIDADE MUNICIPAL DE SAUDE -  SANTO ANTONIO DO PINHAL,"Av. Min. Nelson Hungria, 622 - CENTRO, Santo Antônio do Pinhal - SP, 12450-000",0,,1,(12) 3666-1119,,-2.282.455,-4.566.763,0,0,0,0,0,0,0,0,-22.82455,-45.66763
SANTO EXPEDITO,354830,GVE 21 PRESIDENTE PRUDENTE,UBS EULINA RAMOS PASSOS SANTO EXPEDITO,"Rua Dr Armando Novais Junior, 208 - Centro, Santo Expedito - SP, 19190-000",0,,0,(18) 3267-1116,,-2.185.091,-5.139.355,0,0,0,0,0,0,0,0,-21.85091,-51.39355
SANTOPOLIS DO AGUAPEI,354840,GVE 11 ARACATUBA,CS III SANTOPOLIS DO AGUAPEI,"R. Teolino José Correia, Santópolis do Aguapeí - SP, 16240-000",0,,1,(18) 3605-1260,,-2.163.713,-5.050.182,0,0,0,0,0,0,0,0,-21.63713,-50.50182
SANTOS,354850,GVE 25 SANTOS,HOSPITAL GUILHERME ÁLVARO - SANTOS,R. OSWALDO CRUZ Nº197,1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(13) 3202-1300,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.396.325,-4.631.959,1,1,1,0,1,1,1,1,-23.96325,-46.31959
SAO BENTO DO SAPUCAI,354860,GVE 33 TAUBATE,PRONTO SOCORRO MUNICIPAL - SAO BENTO DO SAPUCAI,"PRAÇA GENERAL MARCONDES SALGADO, 34 CENTRO",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(12) 3971-7000,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.268.695,-4.573.040,1,1,0,0,1,1,1,0,-22.68695,-45.7304
SAO BERNARDO DO CAMPO,354870,GVE 7 SANTO ANDRE,HOSPITAL DE URGÊNCIA - S.B. DO CAMPO,"R. JOAQUIM NABUCO, 380 - CENTRO, CEP: 09720-375",1,Escorpiônico,1,(11) 2630-9827 / 9824 /966051801,ESCORPIÃO.,-2.371.583,-4.655.484,0,0,0,0,0,0,1,0,-23.71583,-46.55484
SAO CAETANO DO SUL,354880,GVE 7 SANTO ANDRE,HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN,"R. Aurélia, 101 - Santa Paula, São Caetano do Sul - SP, 09551-340",0,,1,(11) 4233-7500,,-2.361.781,-4.655.659,0,0,0,0,0,0,0,0,-23.61781,-46.55659
SAO CARLOS,354890,GVE 12 ARARAQUARA,IRMANDADE SANTA CASA - SAO CARLOS,"R. PAULINO BOTELHO DE ABREU SAMPAIO, 573",1,"Botrópico, Crotálico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(16) 3509-1100,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.201.101,-4.790.123,1,1,0,0,1,1,1,1,-22.01101,-47.90123
SAO FRANCISCO,354900,GVE 30 JALES,UNIDADE BASICA DE SAUDE E S F DE SAO FRANCISCO,"Rua São Paulo, 634, São Francisco - SP, 15710-000",0,,0,(17) 3693-1124,,-2.035.911,-5.069.682,0,0,0,0,0,0,0,0,-20.35911,-50.69682
SAO JOAO DA BOA VISTA,354910,GVE 26 SAO JOAO DA BOA VISTA,SANTA CASA D. CAROLINA MALHEIROS,"R. CAROLINA MALHEIROS, 92",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(19) 3633-2222,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.198.180,-4.679.534,1,1,1,0,1,1,1,1,-21.9818,-46.79534
SAO JOAO DAS DUAS PONTES,354920,GVE 30 JALES,UBS DE SAO JOAO DAS DUAS PONTES,"R. São Paulo, 545, São João das Duas Pontes - SP, 15640-000",0,,0,(17) 3481-1539,,-2.038.802,-5.037.852,0,0,0,0,0,0,0,0,-20.38802,-50.37852
SAO JOAO DE IRACEMA,354925,GVE 30 JALES,UBSF II IDA FRANCISQUINI,"R. Dep. Ulisses Guimarães, 381, São João de Iracema - SP, 15315-000",0,,0,(17) 3875-6301,,-2.051.262,-5.035.479,0,0,0,0,0,0,0,0,-20.51262,-50.35479
SAO JOAO DO PAU DALHO,354930,GVE 22 PRESIDENTE VENCESLAU,CENTRO DE SAUDE III SAO JOAO DO PAU DALHO,"Av. Gov. Carvalho Pinto, 381 - Centro, São João do Pau d'Alho - SP, 17970-000",0,,0,(18) 3857-1277,,-2.126.894,-5.166.589,0,0,0,0,0,0,0,0,-21.26894,-51.66589
SAO JOAQUIM DA BARRA,354940,GVE 18 FRANCA,SANTA CASA DE MISERICÓRDIA - SAO JOAQUIM DA BARRA,"R. PIRATININGA, 1221",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3810-4000,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.058.700,-4.786.199,1,1,0,0,1,1,1,0,-20.587,-47.86199
SAO JOSE DA BELA VISTA,354950,GVE 18 FRANCA,HOSPITAL SANTA CASA SAO JOSE DA BELA VISTA,"R. Cap. Anselmo Diniz, 1245-1313, São José da Bela Vista - SP, 14440-000",0,,1,(16) 3142-1247,,-2.059.174,-4.763.843,0,0,0,0,0,0,0,0,-20.59174,-47.63843
SAO JOSE DO BARREIRO,354960,GVE 33 TAUBATE,UNIDADE MISTA DE SAÚDE DR. ACÁCIO,"RUA JOSÉ BENTO TEIXEIRA, S/N° - CENTRO",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(12) 3117-1339,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.264.783,-4.457.584,1,1,0,0,1,1,1,0,-22.64783,-44.57584
SAO JOSE DO RIO PARDO,354970,GVE 26 SAO JOAO DA BOA VISTA,SANTA CASA DE MISERICÓRDIA - SAO JOSE DO RIO PARDO,"RUA: CAMPOS SALLES, 1411",1,"Botrópico, Crotálico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(19) 3682-7826 / 3608-7484,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.160.370,-4.689.484,1,1,0,0,1,1,1,1,-21.6037,-46.89484
SAO JOSE DO RIO PRETO,354980,GVE 29 SAO JOSE DO RIO PRETO,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,AV. BRIGADEIRO FARIA LIMA 5544,1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(17) 3201-5000,JARARACA; CASCAVEL; CORAL; LAQUÉTICO; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.082.807,-4.939.766,1,1,1,0,1,1,1,1,-20.82807,-49.39766
SAO JOSE DO RIO PRETO,354980,GVE 29 SAO JOSE DO RIO PRETO,UPA NORTE,"R. MANOEL MORENO, 130 - JARDIM ANTUNES, SÃO JOSÉ DO RIO PRETO - SP.",1,Escorpiônico,1,(17) 3237-5316,ESCORPIÃO.,-2.077.757,-4.940.326,0,0,0,0,0,0,1,0,-20.77757,-49.40326
SAO JOSE DO RIO PRETO,354980,GVE 29 SAO JOSE DO RIO PRETO,UPA JAGUARÉ,"AV. DANILO GALEAZZI, 2450 - PARQUE JAGUARÉ, SÃO JOSÉ DO RIO PRETO - SP",1,Escorpiônico,1,(17) 3215-6835,ESCORPIÃO.,-2.077.718,-4.936.635,0,0,0,0,0,0,1,0,-20.77718,-49.36635
SAO JOSE DOS CAMPOS,354990,GVE 27 SAO JOSE DOS CAMPOS,HOSPITAL DE BASE DE SAO JOSE DOS CAMPOS,AV. BRIGADEIRO FARIA LIMA 5544,1,"Botrópico, Crotálico, Elapídico, Laquético, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(17) 3201-5000,,-2.082.812,-4.939.762,1,1,1,1,1,1,1,1,-20.82812,-49.39762
SAO JOSE DOS CAMPOS,354990,GVE 27 SAO JOSE DOS CAMPOS,HOSPITAL MUNICIPAL DR JOSÉ DE CARVALHO FLORENCE,"RUA SAIGIRO NAKAMURA, 800 - VILA INDUSTRIAL",1,"Botrópico, Crotálico, Elapídico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(12) 3901-34003,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA,-2.318.011,-4.585.350,1,1,1,0,1,1,1,0,-23.18011,-45.8535
SAO JOSE DOS CAMPOS,354990,GVE 27 SAO JOSE DOS CAMPOS,UPA SÃO FRANCISCO XAVIER,RUA QUINZE DE NOVEMBRO S/N,1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(12) 3926-1265,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.291.098,-4.594.987,1,1,0,0,1,1,1,0,-22.91098,-45.94987
SAO JOSE DOS CAMPOS,354990,GVE 27 SAO JOSE DOS CAMPOS,HOSPITAL DE CLÍNICAS SUL,"PRAÇA NATAL, 55 PARQUE INDUSTRIAL",1,Escorpiônico,1,(12) 3935-8100,ESCORPIÃO.,-2.323.785,-4.590.892,0,0,0,0,0,0,1,0,-23.23785,-45.90892
SAO LOURENCO DA SERRA,354995,GVE 10 OSASCO,PRONTO ATENDIMENTO JOSE PINTO RIBEIRO,"Praça 10 de Agosto, 93 - Centro, São Lourenço da Serra - SP, 06890-000",0,,1,(11) 4686-1198,,-2.385.209,-4.694.350,0,0,0,0,0,0,0,0,-23.85209,-46.9435
SAO LUIS DO PARAITINGA,355000,GVE 33 TAUBATE,SANTA CASA DE MISERICÓRDIA - SAO LUIS DO PARAITINGA,PRAÇA CORONEL TEODORO COELHO 48 - CENTRO - CEP 12.140-000,1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(12) 3671-1299,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.322.543,-4.530.771,1,1,0,0,1,1,1,0,-23.22543,-45.30771
SAO MANUEL,355010,GVE 16 BOTUCATU,HOSPITAL CASA PIA SAO VICENTE DE PAULO,"Av. Irmãs Cintra, 468 - Centro, São Manuel - SP, 18650-000",0,,1,(14) 3812-1010,,-2.273.334,-4.857.109,0,0,0,0,0,0,0,0,-22.73334,-48.57109
SAO MIGUEL ARCANJO,355020,GVE 31 SOROCABA,HOSPITAL DE SÃO MIGUEL ARCANJO,"RUA TADASHI TAKENAKA, 100",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(15) 3279-8300,JARARACA; CASCAVEL; ESCORPIÃO.,-2.387.332,-4.799.977,1,1,0,0,1,1,1,0,-23.87332,-47.99977
SAO PAULO,355030,GVE 1 CAPITAL,HOSPITAL VITAL BRAZIL DO INSTITUTO BUTANTAN,AV. VITAL BRASIL Nº 1500 - INSTITUTO BUTANTAN,1,"Botrópico, Crotálico, Elapídico, Laquético, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(11) 2627-9529,JARARACA; CASCAVEL; CORAL; LAQUÉTICO; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.356.513,-4.671.974,1,1,1,1,1,1,1,1,-23.56513,-46.71974
SAO PAULO,355030,GVE 1 CAPITAL,HOSPITAL CAMPO LIMPO - PS HOSPITAL MUNICIPAL FERNANDO MAURO PIRES DA ROCHA,"RUA TERESA MOUCO DE OLIVEIRA, 121 - JARDIM SÃO LUIZ",1,Escorpiônico,1,(11) 3394-7556 E 3394-7492,ESCORPIÃO.,-2.364.925,-4.674.936,0,0,0,0,0,0,1,0,-23.64925,-46.74936
SAO PAULO,355030,GVE 1 CAPITAL,HOSPITAL ESTADUAL PROF. LIBERATO JOHN ALPHONSE DI DIO (HOSPITAL GERAL DO GRAJAÚ),"R. FRANCISCO OCTAVIO PACCA, 180, PARQUE DAS NAÇÕES",1,Escorpiônico,1,(11) 3544-9444 RAMAL 415/218 / 11-947118758,ESCORPIÃO.,-2.372.906,-4.669.093,0,0,0,0,0,0,1,0,-23.72906,-46.69093
SAO PAULO,355030,GVE 1 CAPITAL,HOSPITAL GERAL DE TAIPAS “KÁTIA DE SOUZA RODRIGUES”,"AV. ELÍSIO TEIXEIRA LEITE, 6999, JARAGUÁ",1,Escorpiônico,1,(11) 3973-0400,ESCORPIÃO.,-2.344.407,-4.671.780,0,0,0,0,0,0,1,0,-23.44407,-46.7178
SAO PAULO,355030,GVE 1 CAPITAL,HOSPITAL MUNICIPAL DR. CARMINO CARRICCHIO (HOSPITAL DO TATUAPÉ),"AV. CELSO GARCIA, 4815, TATUAPÉ",1,Escorpiônico,1,(11) 3394-6980,ESCORPIÃO.,-2.353.316,-4.656.639,0,0,0,0,0,0,1,0,-23.53316,-46.56639
SAO PAULO,355030,GVE 1 CAPITAL,HOSPITAL MUNICIPAL TIDE SETÚBAL,"R. DR. JOSÉ GUILHERME EIRAS, 123 - SÃO MIGUEL PAULISTA",1,Escorpiônico,1,(11) 3394-8770,ESCORPIÃO.,-2.349.709,-4.644.020,0,0,0,0,0,0,1,0,-23.49709,-46.4402
SAO PAULO,355030,GVE 1 CAPITAL,HOSPITAL MUNICIPAL DE PARELHEIROS,"RUA EUZÉBIO COGHI, 841, JARDIM ROSCHEL, SÃO PAULO – SP, 04883-290",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Fonêutrico e  Loxoscélico.",1,(11) 4673-9660,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.382.356,-4.672.669,1,1,1,0,1,1,1,0,-23.82356,-46.72669
SAO PEDRO,355040,GVE 20 PIRACICABA,UPA DE SÃO PEDRO (ANEXO À SANTA CASA),"RUA MALAQUIAS GUERRA, 162",1,"Botrópico, Crotálico e Escorpiônico.",1,(19) 3481-9270,JARARACA; CASCAVEL; ESCORPIÃO.,-2.254.522,-4.791.439,1,1,0,0,0,0,1,0,-22.54522,-47.91439
SAO PEDRO DO TURVO,355050,GVE 13 ASSIS,CENTRO DE SAUDE III DR FRANCISCO ANTONIO MARTINS,"R. Padre José Julianetti, 310, São Pedro do Turvo - SP, 18940-051",0,,0,(14) 3377-1112,,-2.275.277,-4.974.058,0,0,0,0,0,0,0,0,-22.75277,-49.74058
SAO ROQUE,355060,GVE 31 SOROCABA,HOSPITAL E MATERNIDADE SOTERO DE SOUZA,"R. Santa Isabel, 186 - Centro, São Roque - SP, 18130-565",0,,1,(11) 4719-9360,,-2.353.776,-4.713.868,0,0,0,0,0,0,0,0,-23.53776,-47.13868
SAO SEBASTIAO,355070,GVE 28 CARAGUATATUBA,PRONTO SOCORRO CENTRAL - SAO SEBASTIAO,"R CAPITÃO LUIS SOARES, 570",1,"Botrópico, Crotálico, Escorpiônico eLoxoscélico, Fonêutrico.",1,(12) 3893-3200,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.380.427,-4.540.254,1,1,0,0,1,1,1,0,-23.80427,-45.40254
SAO SEBASTIAO,355070,GVE 28 CARAGUATATUBA,HOSPITAL DE CLÍNICAS DE SÃO SEBASTIÃO - COSTA SUL (BOIÇUCANGA),"AV. WALKIR VERGANI, 900",1,"Botrópico, Crotálico, Elapídico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(12) 3865-2040,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.378.375,-4.562.863,1,1,1,0,1,1,1,0,-23.78375,-45.62863
SAO SEBASTIAO DA GRAMA,355080,GVE 26 SAO JOAO DA BOA VISTA,SANTA CASA DE MISERICORDIA DE GRAMA,"R. Nove de Julho, 286 - Centro, São Sebastião da Grama - SP, 13790-000",0,,1,(19) 3646-1166,,-2.170.880,-4.682.511,0,0,0,0,0,0,0,0,-21.7088,-46.82511
SAO SIMAO,355090,GVE 24 RIBEIRAO PRETO,SANTA CASA DE MISERICORDIA DE SAO SIMAO,"R. Bandeira Vilella, 185 - Centro, São Simão - SP, 14200-000",0,,1,(16) 3984-1113,,-2.147.913,-4.755.089,0,0,0,0,0,0,0,0,-21.47913,-47.55089
SAO VICENTE,355100,GVE 25 SANTOS,HOSPITAL SAO JOSE DE SAO VICENTE,"R. Frei Gaspar, 790 - Centro, São Vicente - SP, 11310-061",0,,1,(13) 3048-9488,,-2.396.519,-4.638.669,0,0,0,0,0,0,0,0,-23.96519,-46.38669
SARAPUI,355110,GVE 31 SOROCABA,UNIDADE MISTA DE SAUDE DE SARAPUI,"R. Ernesto Piedade - Perímetro Urbano, Sarapuí - SP, 18225-000",0,,1,(15) 3276-1507,,-2.363.982,-4.782.583,0,0,0,0,0,0,0,0,-23.63982,-47.82583
