ANT_TEMPO_,TP_ACIDENT,ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
1.0,1.0,350570,Barueri,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5057,-46.879,354730.0,Santana de Parnaíba,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.4439,-46.9178,7.909337947182501,3
1.0,1.0,350580,Bastos,3533,RRAS10,35095,TUPA,-21.921,-50.7357,351920.0,Iacri,3533,RRAS10,35095,TUPA,-21.8572,-50.6932,8.318483360076172,2
1.0,1.0,350580,Bastos,3533,RRAS10,35095,TUPA,-21.921,-50.7357,353600.0,Parapuã,3533,RRAS10,35095,TUPA,-21.7792,-50.7949,16.851655981321578,2
1.0,1.0,350580,Bastos,3533,RRAS10,35095,TUPA,-21.921,-50.7357,354380.0,Rinópolis,3533,RRAS10,35095,TUPA,-21.7284,-50.7239,21.361063259876836,1
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,350070.0,Agudos,3518,RRAS9,35062,BAURU,-22.4694,-48.9863,19.100839830078105,4
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,350340.0,Arealva,3518,RRAS9,35062,BAURU,-22.031,-48.9135,37.11496127179972,7
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,350430.0,Avaí,3518,RRAS9,35062,BAURU,-22.1514,-49.3356,32.0015075883463,5
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,350680.0,Bocaina,3518,RRAS9,35064,JAU,-22.1365,-48.523,61.773014056134045,1
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,350745.0,Borebi,3518,RRAS9,35062,BAURU,-22.5728,-48.9707,29.982817856748568,3
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,351910.0,Iacanga,3518,RRAS9,35062,BAURU,-21.8896,-49.031,48.51487755281594,3
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,352680.0,Lençóis Paulista,3518,RRAS9,35062,BAURU,-22.6027,-48.8037,42.41671128926413,2
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,352750.0,Lucianópolis,3518,RRAS9,35062,BAURU,-22.4294,-49.522,46.2680618568218,1
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,353670.0,Pederneiras,3518,RRAS9,35062,BAURU,-22.3511,-48.7781,31.9668399524105,4
1.0,1.0,350600,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,353890.0,Pirajuí,3518,RRAS9,35062,BAURU,-21.999,-49.4608,52.77923057818858,1
